"disease","year","nc_rate"
"Measles",1973,0.122480574580871
"Measles",1974,0.137854918090849
"Measles",1975,0.0950242211257483
"Measles",1976,0.63500244540213
"Measles",1977,1.1147380268963
"Measles",1978,2.31741191722304
"Measles",1979,2.23952012251898
"Measles",1980,2.36358277706501
"Measles",1981,0.174666709885481
"Measles",1982,0.143892449027899
"Measles",1985,0.214894064228759
"Measles",1986,0.10331261571013
"Measles",1987,0.368952674972525
"Measles",1988,0.80690336866639
"Measles",1989,3.37489612209525
"Measles",1990,0.861009144590469
"Measles",1991,1.02156410055411
"Measles",1992,0.512443724169313
"Measles",1994,0.0912519045325383
"Measles",1996,0.12743694202608
"Measles",1997,0.0473471218683914
"Measles",1999,0
"Mumps",1975,2.78443066554518
"Mumps",1976,7.16817497314994
"Mumps",1977,1.51826310450581
"Mumps",1978,1.41504736914743
"Mumps",1979,1.55043700789775
"Mumps",1980,1.76817642864405
"Mumps",1981,0.446370480818451
"Mumps",1982,0.414410253200348
"Mumps",1983,0.594023541995454
"Mumps",1984,0.448242292942073
"Mumps",1985,0.355616654752084
"Mumps",1986,0.482125539980605
"Mumps",1987,0.50651931521228
"Mumps",1988,0.855317570786374
"Mumps",1989,0.688958084096367
"Mumps",1990,5.23516988731266
"Mumps",1991,4.56540136096333
"Mumps",1992,3.79208355885292
"Mumps",1993,3.28300411673446
"Mumps",1994,0.590225084635992
"Mumps",1995,0.581306477019958
"Mumps",1996,0.490632226800408
"Mumps",1997,0.183075537891113
"Mumps",1998,0.190054765855199
"Mumps",1999,0.12103205116211
"Mumps",2000,0.112350933065587
"Mumps",2001,0.105631207814044
"Mumps",2002,0.0148146319743997
"Pertussis",1938,429.246152043976
"Pertussis",1939,302.377191279538
"Pertussis",1940,200.146280507077
"Pertussis",1941,288.688987477178
"Pertussis",1942,167.365451160945
"Pertussis",1943,219.00227673762
"Pertussis",1944,175.688948423773
"Pertussis",1945,153.4109257319
"Pertussis",1946,90.2409420167539
"Pertussis",1947,77.9260858144969
"Pertussis",1948,51.7198362255743
"Pertussis",1949,34.8712085043843
"Pertussis",1950,80.5258280187643
"Pertussis",1951,52.4258952284192
"Pertussis",1952,30.9981649150383
"Pertussis",1953,6.48879794182466
"Pertussis",1954,18.6778255542651
"Pertussis",1955,33.0204462543249
"Pertussis",1974,2.34353360754444
"Pertussis",1975,1.68119775837862
"Pertussis",1976,2.08753840350822
"Pertussis",1977,1.58754892078286
"Pertussis",1978,1.54768784042096
"Pertussis",1979,1.49301341501265
"Pertussis",1980,1.66416605048852
"Pertussis",1981,0.952727508466259
"Pertussis",1982,1.76595278352421
"Pertussis",1983,0.64563839244323
"Pertussis",1984,0.637883263032951
"Pertussis",1985,0.639064047216245
"Pertussis",1986,1.50119555889005
"Pertussis",1987,1.83817493423811
"Pertussis",1988,1.06004952354212
"Pertussis",1989,1.57235544970438
"Pertussis",1990,1.30189467820346
"Pertussis",1991,0.754696244162443
"Pertussis",1992,0.758416711770584
"Pertussis",1993,3.85562111383931
"Pertussis",1994,2.08575781788659
"Pertussis",1995,1.54313634925358
"Pertussis",1996,2.41627149288923
"Pertussis",1997,1.87236345570457
"Pertussis",1998,1.51312832815486
"Pertussis",1999,1.23883028367262
"Pertussis",2000,1.37899967363674
"Pertussis",2001,0.879541485472042
"Pertussis",2002,0.514003318068302
"Pertussis",2003,1.58121369312456
"Pertussis",2004,1.23080613761318
"Pertussis",2005,1.39625931183356
"Pertussis",2006,2.75435793779853
"Pertussis",2007,4.23638907069198
"Pertussis",2008,0.871717918905797
"Pertussis",2009,2.43739526817207
"Pertussis",2010,0.233713533815899
"Pertussis",2011,1.82305539610632
"Polio",1928,1.6694970416091
"Polio",1929,4.27282055631481
"Polio",1930,2.86237217324976
"Polio",1931,3.25803952281202
"Polio",1932,1.65111106015089
"Polio",1933,0.905215762703119
"Polio",1934,1.34154797942006
"Polio",1935,19.9591030019434
"Polio",1936,1.51702082782076
"Polio",1937,3.06117999247412
"Polio",1938,2.30291653728177
"Polio",1939,3.38458699831846
"Polio",1940,2.78793333129242
"Polio",1941,4.05408341620119
"Polio",1942,2.45951353512012
"Polio",1943,1.25203890895309
"Polio",1944,21.007594809524
"Polio",1945,6.2477988952999
"Polio",1946,4.37519249236912
"Polio",1947,7.54966101253423
"Polio",1948,60.0638088462422
"Polio",1949,6.99289520545718
"Polio",1950,20.9281589245341
"Polio",1951,8.98779787609262
"Polio",1952,29.3199644878707
"Polio",1953,26.7568174416859
"Polio",1954,19.1609888250967
"Polio",1955,11.9060147812904
"Polio",1956,8.01057974999006
"Polio",1957,5.86443044265438
"Polio",1958,2.49070065184642
"Polio",1959,5.76575042239666
"Polio",1960,2.21549039641075
"Polio",1961,0.484209523917126
"Polio",1962,0.364184614285597
"Polio",1963,0.184570659540535
"Polio",1964,0.279899786725782
"Polio",1967,0.0461595633845016
"Polio",1968,0.040361681023653
"Rubella",1969,2.3323768594725
"Rubella",1970,1.13689702889671
"Rubella",1971,1.13798790896105
"Rubella",1972,0.685193193982805
"Rubella",1973,4.3453977764344
"Rubella",1974,1.14976867854496
"Rubella",1975,0.929125717673983
"Rubella",1976,0.362858540229788
"Rubella",1977,7.86243393404796
"Rubella",1978,3.70637592392985
"Rubella",1979,10.0965032190231
"Rubella",1980,0.866045597703208
"Rubella",1981,0.09492755972037
"Rubella",1982,0.0523245269192358
"Rubella",1983,0.213477210404616
"Rubella",1985,0.0596927956190998
"Rubella",1987,0.0326786654975665
"Rubella",1988,0.134483894777732
"Rubella",1989,0.0227465526177848
"Rubella",1990,0.11206785691495
"Rubella",1991,0.0857609368366412
"Rubella",1995,0.0325206420710466
"Rubella",1996,2.12774179989973
"Rubella",1997,1.30662783091641
"Rubella",1998,0.157393963212325
"Rubella",1999,0.537920227387156
"Rubella",2000,1.471485137234
"Smallpox",1928,83.5444144571889
"Smallpox",1929,18.7297322130191
"Smallpox",1930,17.7271631870537
"Smallpox",1931,1.98585266152352
"Smallpox",1932,2.20148141353452
"Smallpox",1933,1.11643277400051
"Smallpox",1934,0.536619191768023
"Smallpox",1935,0.648597143342327
"Smallpox",1936,0.606808331128305
"Smallpox",1937,0.346548678393296
"Smallpox",1938,1.00065871933982
"Smallpox",1939,0.594283670273308
"Smallpox",1940,0.314022120322044
"Smallpox",1941,0.0846760815830597
"Smallpox",1942,0.218826042049612
"Smallpox",1943,0.567293426852105
"Smallpox",1944,0.0815727822246884
"Smallpox",1945,0.0526371335501457
"Smallpox",1946,0.0779058492230969
"Smallpox",1947,0.0543793110146523
"Smallpox",1948,0.164310330139899
"Smallpox",1949,1.29706927197996
