"disease","state","year","weeks_reporting","count","population","raw_rate","rate"
"Hepatitis A","Alabama",2007,48,20,4693536,0.426117963087958,0.461627793345287
"Hepatitis A","Alabama",2008,49,10,4722691,0.211743685962092,0.224707585102629
"Hepatitis A","Alabama",2009,49,10,4751307,0.21046840374659,0.223354224384136
"Hepatitis A","Alabama",2010,51,8,4779736,0.167373260782604,0.1706550894254
"Hepatitis A","Alabama",2011,27,7,4808274,0.14558238569599,0.280380890970055
"Hepatitis A","Arizona",1966,50,415,1572291,26.3946050699266,27.4503892727237
"Hepatitis A","Arizona",1967,48,390,1615310,24.1439723644378,26.1559700614743
"Hepatitis A","Arizona",1968,50,425,1661517,25.5790340995608,26.6021954635433
"Hepatitis A","Arizona",1969,49,528,1712707,30.8283903785061,32.7158428506595
"Hepatitis A","Arizona",1970,50,615,1770900,34.7281043537185,36.1172285278672
"Hepatitis A","Arizona",1971,51,896,1837891,48.7515309667439,49.7074433386409
"Hepatitis A","Arizona",1972,46,660,1913632,34.489389809535,38.9880058716482
"Hepatitis A","Arizona",1973,22,160,1997501,8.01000850562778,18.9327473769384
"Hepatitis A","Arizona",1974,49,512,2088732,24.5124793415335,26.0132433828519
"Hepatitis A","Arizona",1975,50,437,2186365,19.9875135213013,20.7870140621534
"Hepatitis A","Arizona",1976,51,560,2289201,24.4626837049259,24.9423441697283
"Hepatitis A","Arizona",1977,51,929,2395761,38.7768228967748,39.5371527574958
"Hepatitis A","Arizona",1978,48,1137,2504256,45.4027064325692,49.18626530195
"Hepatitis A","Arizona",1979,50,1788,2612561,68.4385933955226,71.1761371313435
"Hepatitis A","Arizona",1980,33,635,2718215,23.3609188382817,36.8111448360803
"Hepatitis A","Arizona",1981,43,434,2819039,15.3953173404128,18.6175930628248
"Hepatitis A","Arizona",1982,41,514,2915148,17.6320378931018,22.3625846449096
"Hepatitis A","Arizona",1983,44,845,3007444,28.0969487711159,33.2054849113188
"Hepatitis A","Arizona",1984,46,721,3097045,23.2802558567925,26.3168109685481
"Hepatitis A","Arizona",1985,42,1013,3185267,31.802671487194,39.3747361270021
"Hepatitis A","Arizona",1986,37,1015,3273618,31.0054502388489,43.5752273627065
"Hepatitis A","Arizona",1987,47,1925,3363792,57.2270818171873,63.3150692445476
"Hepatitis A","Arizona",1988,23,972,3457679,28.1113428979382,63.5560795953385
"Hepatitis A","Arizona",1989,33,2009,3557380,56.4741467034728,88.989564502442
"Hepatitis A","Arizona",1990,42,1645,3665228,44.8812461325735,55.5672571165195
"Hepatitis A","Arizona",1991,37,837,3783229,22.1239581320613,31.0931303477618
"Hepatitis A","Arizona",1992,35,761,3911122,19.4573321926547,28.9080364005155
"Hepatitis A","Arizona",1993,26,662,4047937,16.3540094621038,32.7080189242076
"Hepatitis A","Arizona",1994,29,934,4192532,22.2777071230464,39.9462334620142
"Hepatitis A","Arizona",1995,40,990,4343559,22.7923691148204,29.6300798492665
"Hepatitis A","Arizona",1996,43,1397,4499438,31.0483220348852,37.5468080421868
"Hepatitis A","Arizona",1997,27,1078,4658333,23.1413254483954,44.5684786413541
"Hepatitis A","Arizona",1998,35,1224,4818136,25.4040151627102,37.7431082417409
"Hepatitis A","Arizona",1999,36,601,4976457,12.0768651271376,17.4443607391988
"Hepatitis A","Arizona",2000,41,399,5130632,7.77681969784619,9.86328351921956
"Hepatitis A","Arizona",2001,40,341,5278300,6.46041339067503,8.39853740787754
"Hepatitis A","Arizona",2002,46,313,5419266,5.77568991815497,6.52904077704475
"Hepatitis A","Arizona",2003,44,237,5554021,4.26717868009502,5.0430293492032
"Hepatitis A","Arizona",2004,44,210,5683195,3.69510460225278,4.36694180266238
"Hepatitis A","Arizona",2005,47,240,5807553,4.13254945757706,4.57218237859589
"Hepatitis A","Arizona",2006,44,69,5927979,1.16397173471768,1.37560295921181
"Hepatitis A","Arizona",2007,51,163,6045475,2.69623147891605,2.74909876281636
"Hepatitis A","Arizona",2008,47,101,6161152,1.63930381850667,1.81369784175206
"Hepatitis A","Arizona",2009,48,72,6276227,1.14718604027547,1.24278487696509
"Hepatitis A","Arizona",2010,48,72,6392017,1.1264050142545,1.22027209877571
"Hepatitis A","Arizona",2011,48,19,6509700,0.291872129283992,0.316194806724324
"Hepatitis A","Arkansas",1966,52,299,1826028,16.3743381810137,16.3743381810137
"Hepatitis A","Arkansas",1967,47,295,1844745,15.9913700809597,17.6925796640405
"Hepatitis A","Arkansas",1968,38,166,1867112,8.89073606725253,12.1662704078192
"Hepatitis A","Arkansas",1969,34,189,1893248,9.98284429720776,15.2678795133766
"Hepatitis A","Arkansas",1970,42,212,1923295,11.0227500201477,13.6472143106591
"Hepatitis A","Arkansas",1971,46,236,1957252,12.0577217445684,13.6304680590773
"Hepatitis A","Arkansas",1972,46,278,1994452,13.9386658590931,15.7567527102792
"Hepatitis A","Arkansas",1973,44,141,2034009,6.93212271922101,8.19250866817028
"Hepatitis A","Arkansas",1974,49,444,2074967,21.3979306658853,22.7080080535926
"Hepatitis A","Arkansas",1975,49,409,2116289,19.3262829415075,20.5095247542529
"Hepatitis A","Arkansas",1976,50,449,2156856,20.8173378287656,21.6500313419162
"Hepatitis A","Arkansas",1977,47,406,2195463,18.4926824091319,20.4599890484013
"Hepatitis A","Arkansas",1978,46,204,2230829,9.14458257445999,10.3373542146069
"Hepatitis A","Arkansas",1979,50,260,2261613,11.496219733438,11.9560685227756
"Hepatitis A","Arkansas",1980,36,240,2286435,10.4966902623517,15.1618859345079
"Hepatitis A","Arkansas",1981,48,215,2304331,9.33025680772424,10.1077782083679
"Hepatitis A","Arkansas",1982,30,74,2316088,3.19504267540784,5.53807397070693
"Hepatitis A","Arkansas",1983,32,57,2322996,2.45372785833467,3.98730776979383
"Hepatitis A","Arkansas",1984,30,98,2326399,4.21251900469352,7.30169960813544
"Hepatitis A","Arkansas",1985,19,46,2327671,1.97622430317687,5.40861388237879
"Hepatitis A","Arkansas",1986,29,87,2328197,3.73679718683599,6.70046392122316
"Hepatitis A","Arkansas",1987,31,191,2329366,8.19965604374753,13.7542617508023
"Hepatitis A","Arkansas",1988,22,135,2332569,5.78761014143633,13.6798057888495
"Hepatitis A","Arkansas",1989,32,167,2339212,7.13915626287827,11.6011289271772
"Hepatitis A","Arkansas",1990,41,420,2350725,17.8668283189229,22.6603676239998
"Hepatitis A","Arkansas",1991,38,163,2368201,6.88286171655193,9.41865287528159
"Hepatitis A","Arkansas",1992,35,83,2391223,3.47102716894242,5.15695465100017
"Hepatitis A","Arkansas",1993,27,29,2418991,1.19884695726441,2.30889043621294
"Hepatitis A","Arkansas",1994,27,85,2450696,3.46840244567258,6.6798861916657
"Hepatitis A","Arkansas",1995,35,425,2485501,17.0991683366854,25.4044786716469
"Hepatitis A","Arkansas",1996,43,446,2522529,17.6806688842824,21.3812739995973
"Hepatitis A","Arkansas",1997,26,88,2560848,3.43636170518516,6.87272341037031
"Hepatitis A","Arkansas",1998,34,63,2599475,2.42356629704075,3.70663080723879
"Hepatitis A","Arkansas",1999,36,62,2637361,2.35083479280993,3.39565025628102
"Hepatitis A","Arkansas",2000,41,95,2673400,3.55352734345777,4.5069127282879
"Hepatitis A","Arkansas",2001,41,58,2706668,2.14285608726301,2.71776869604089
"Hepatitis A","Arkansas",2002,47,50,2737163,1.8267088953051,2.0210396288482
"Hepatitis A","Arkansas",2003,36,17,2765142,0.614796636122123,0.888039585509733
"Hepatitis A","Arkansas",2004,46,52,2790880,1.86321160350857,2.10623920396621
"Hepatitis A","Arkansas",2005,44,17,2814674,0.603977583194359,0.713791689229697
"Hepatitis A","Arkansas",2006,41,23,2836837,0.810762126974514,1.02828367323597
"Hepatitis A","Arkansas",2007,44,11,2857696,0.384925478427376,0.454911929050536
"Hepatitis A","Arkansas",2008,36,4,2877593,0.139005064302005,0.200785092880674
"Hepatitis A","Arkansas",2009,44,5,2896879,0.172599545925115,0.203981281547863
"Hepatitis A","Arkansas",2010,8,0,2915918,0,0
"Hepatitis A","Arkansas",2011,3,0,2935019,0,0
"Hepatitis A","California",1966,52,5933,18429575,32.1928205072553,32.1928205072553
"Hepatitis A","California",1967,52,7480,18831882,39.7198750501941,39.7198750501941
"Hepatitis A","California",1968,52,10821,19219725,56.3015339709595,56.3015339709595
"Hepatitis A","California",1969,50,9051,19593348,46.194249191103,48.0420191587471
"Hepatitis A","California",1970,50,9422,19953134,47.2206521541929,49.1094782403606
"Hepatitis A","California",1971,51,9623,20300216,47.403436495454,48.3329156424237
"Hepatitis A","California",1972,47,7190,20638390,34.8379888159881,38.5441578389655
"Hepatitis A","California",1973,49,6875,20972407,32.7811681320127,34.7881784258094
"Hepatitis A","California",1974,48,5547,21307362,26.033255548012,28.2026935103463
"Hepatitis A","California",1975,51,5134,21648695,23.715055341673,24.1800564268039
"Hepatitis A","California",1976,51,5590,22002198,25.4065525635212,25.9047202608451
"Hepatitis A","California",1977,44,4741,22374038,21.1897378559918,25.0424174661722
"Hepatitis A","California",1978,45,4301,22770801,18.8882244414678,21.8263926879184
"Hepatitis A","California",1979,44,4101,23199549,17.677067774033,20.8910800965845
"Hepatitis A","California",1980,33,3673,23667902,15.5189082665629,24.4540372685233
"Hepatitis A","California",1981,44,5147,24181703,21.2846878484944,25.1546310936752
"Hepatitis A","California",1982,44,3726,24737390,15.0622195793493,17.8008049574128
"Hepatitis A","California",1983,42,3922,25328529,15.4845155042363,19.1713049100069
"Hepatitis A","California",1984,43,6021,25948031,23.2040727868716,28.0607391841238
"Hepatitis A","California",1985,39,5371,26588046,20.2008075358377,26.9344100477836
"Hepatitis A","California",1986,39,5802,27239883,21.2996509566506,28.3995346088674
"Hepatitis A","California",1987,45,5956,27893955,21.3522965818221,24.6737649389945
"Hepatitis A","California",1988,23,2717,28539754,9.52005402709498,21.5236004090843
"Hepatitis A","California",1989,34,4692,29165865,16.0872993137697,24.6041048328243
"Hepatitis A","California",1990,42,4870,29760021,16.3642357644842,20.2604823750756
"Hepatitis A","California",1991,36,3791,30311890,12.5066434326596,18.0651516249527
"Hepatitis A","California",1992,36,3594,30821629,11.6606425961457,16.8431504166549
"Hepatitis A","California",1993,26,2674,31292538,8.54516818035022,17.0903363607004
"Hepatitis A","California",1994,27,3367,31728420,10.6119371843918,20.4378049477175
"Hepatitis A","California",1995,41,5130,32133526,15.9646345688923,20.2478292093268
"Hepatitis A","California",1996,45,5547,32512506,17.0611271859512,19.7150803037658
"Hepatitis A","California",1997,28,4438,32870358,13.5015262078983,25.0742629575254
"Hepatitis A","California",1998,35,2803,33212395,8.43962020805787,12.5388643091145
"Hepatitis A","California",1999,38,2349,33544208,7.00269924393505,9.58264107064796
"Hepatitis A","California",2000,39,2261,33871648,6.67519926990266,8.90026569320355
"Hepatitis A","California",2001,40,1599,34199784,4.6754681257636,6.07810856349268
"Hepatitis A","California",2002,49,1364,34529758,3.95021592679566,4.19206588149744
"Hepatitis A","California",2003,46,1045,34861711,2.99755797987081,3.38854380333222
"Hepatitis A","California",2004,48,788,35195792,2.23890401443445,2.42547934897066
"Hepatitis A","California",2005,49,905,35532154,2.54698884846666,2.70292694122992
"Hepatitis A","California",2006,52,688,35870957,1.91798618587176,1.91798618587176
"Hepatitis A","California",2007,51,312,36212364,0.861584181579529,0.878477989061481
"Hepatitis A","California",2008,52,337,36556548,0.921859470976308,0.921859470976308
"Hepatitis A","California",2009,52,239,36903684,0.647631819088848,0.647631819088847
"Hepatitis A","California",2010,49,201,37253956,0.539540015562374,0.572573077739662
"Hepatitis A","California",2011,49,176,37607525,0.467991445860902,0.496643983362589
"Hepatitis A","Colorado",1966,48,292,2008407,14.5388857935667,15.7504596096973
"Hepatitis A","Colorado",1967,43,294,2053164,14.3193627006903,17.3164386147882
"Hepatitis A","Colorado",1968,43,715,2100603,34.0378453234619,41.1620455074423
"Hepatitis A","Colorado",1969,43,587,2151635,27.2815788923307,32.9916768000278
"Hepatitis A","Colorado",1970,41,915,2207259,41.4541293069821,52.575968877148
"Hepatitis A","Colorado",1971,47,751,2268242,33.1093419485222,36.6316123685778
"Hepatitis A","Colorado",1972,44,639,2334054,27.3772586238365,32.3549420099886
"Hepatitis A","Colorado",1973,48,495,2403738,20.5929265169499,22.3090037266957
"Hepatitis A","Colorado",1974,38,256,2476210,10.3383800243113,14.1472568753734
"Hepatitis A","Colorado",1975,46,239,2550245,9.37164860631037,10.5940375549596
"Hepatitis A","Colorado",1976,51,426,2624457,16.2319291190521,16.5502022390335
"Hepatitis A","Colorado",1977,51,509,2697303,18.8707015859916,19.2407153425797
"Hepatitis A","Colorado",1978,49,446,2767084,16.1180506265802,17.1048700526973
"Hepatitis A","Colorado",1979,51,482,2831958,17.0200264269456,17.3537524353171
"Hepatitis A","Colorado",1980,38,591,2889964,20.4500817311219,27.9843223689037
"Hepatitis A","Colorado",1981,48,536,2939663,18.2333825339843,19.752831078483
"Hepatitis A","Colorado",1982,49,331,2982055,11.0997282075616,11.7793034039429
"Hepatitis A","Colorado",1983,50,394,3018900,13.0511113319421,13.5731557852198
"Hepatitis A","Colorado",1984,48,544,3052100,17.8237934536876,19.3091095748283
"Hepatitis A","Colorado",1985,43,299,3083671,9.69623542848767,11.7256800530549
"Hepatitis A","Colorado",1986,36,151,3115721,4.84639028975958,7.00034152965272
"Hepatitis A","Colorado",1987,50,424,3150449,13.4583991043816,13.9967350685569
"Hepatitis A","Colorado",1988,23,117,3190156,3.66753224607198,8.29181203459752
"Hepatitis A","Colorado",1989,34,368,3237270,11.3676029493987,17.3857456873157
"Hepatitis A","Colorado",1990,39,278,3294394,8.4385777778857,11.2514370371809
"Hepatitis A","Colorado",1991,37,494,3363642,14.6864618767396,20.6404329078502
"Hepatitis A","Colorado",1992,36,587,3444391,17.0421999128438,24.6165109852188
"Hepatitis A","Colorado",1993,26,436,3535251,12.3329291187528,24.6658582375056
"Hepatitis A","Colorado",1994,29,403,3634710,11.0875420597517,19.8811099002444
"Hepatitis A","Colorado",1995,41,393,3741086,10.5049710164375,13.3233778745061
"Hepatitis A","Colorado",1996,42,362,3852482,9.39653968532494,11.6338110389737
"Hepatitis A","Colorado",1997,27,234,3966754,5.8990297860669,11.3610944027955
"Hepatitis A","Colorado",1998,35,261,4081485,6.39473132940584,9.50074368940296
"Hepatitis A","Colorado",1999,38,147,4193978,3.50502553899901,4.79635073757759
"Hepatitis A","Colorado",2000,41,170,4301261,3.95232932853877,5.01271036790283
"Hepatitis A","Colorado",2001,41,76,4400742,1.72698149539328,2.19031799415733
"Hepatitis A","Colorado",2002,47,77,4492257,1.71406043777104,1.89640729285306
"Hepatitis A","Colorado",2003,45,60,4576377,1.31108079600959,1.51502669761109
"Hepatitis A","Colorado",2004,43,56,4653801,1.20331746028676,1.45517460313748
"Hepatitis A","Colorado",2005,49,49,4725338,1.03696285852991,1.10045038048072
"Hepatitis A","Colorado",2006,49,24,4791892,0.500846012389261,0.531510053964114
"Hepatitis A","Colorado",2007,48,25,4854455,0.514990869211889,0.557906774979546
"Hepatitis A","Colorado",2008,44,23,4914094,0.468041514875377,0.553139972125445
"Hepatitis A","Colorado",2009,50,49,4971943,0.985530204187779,1.02495141235529
"Hepatitis A","Colorado",2010,50,34,5029196,0.676052394855957,0.703094490650195
"Hepatitis A","Colorado",2011,51,18,5086894,0.35385050288054,0.36078874803506
"Hepatitis A","Connecticut",1966,52,334,2874698,11.6186117637401,11.6186117637401
"Hepatitis A","Connecticut",1967,52,583,2922078,19.9515550235141,19.9515550235141
"Hepatitis A","Connecticut",1968,52,502,2964628,16.932984509355,16.932984509355
"Hepatitis A","Connecticut",1969,50,617,3001466,20.5566213310429,21.3788861842846
"Hepatitis A","Connecticut",1970,51,860,3031709,28.3668386378772,28.9230511601885
"Hepatitis A","Connecticut",1971,51,877,3054792,28.7089922980026,29.2719137156105
"Hepatitis A","Connecticut",1972,47,687,3071418,22.3675188463439,24.7470421278699
"Hepatitis A","Connecticut",1973,51,661,3082659,21.4425273765279,21.8629690897931
"Hepatitis A","Connecticut",1974,49,526,3089639,17.0246426847926,18.0669677471269
"Hepatitis A","Connecticut",1975,51,417,3093513,13.4798205147352,13.7441307209065
"Hepatitis A","Connecticut",1976,50,427,3095453,13.7944268577168,14.3462039320255
"Hepatitis A","Connecticut",1977,49,274,3096643,8.84829152085016,9.39002365477976
"Hepatitis A","Connecticut",1978,45,165,3098267,5.32555780376578,6.15397790657379
"Hepatitis A","Connecticut",1979,45,167,3101513,5.38446880603112,6.22205284252485
"Hepatitis A","Connecticut",1980,31,110,3107576,3.53973643766074,5.93762241155994
"Hepatitis A","Connecticut",1981,42,129,3117363,4.13811288579482,5.12337785860311
"Hepatitis A","Connecticut",1982,36,82,3130581,2.61932210027468,3.78346525595231
"Hepatitis A","Connecticut",1983,40,88,3146641,2.79663298101054,3.63562287531371
"Hepatitis A","Connecticut",1984,36,74,3164947,2.33811182304159,3.37727263328229
"Hepatitis A","Connecticut",1985,29,118,3184895,3.70498870449418,6.64342802185164
"Hepatitis A","Connecticut",1986,35,124,3205868,3.86790722512593,5.74660502018709
"Hepatitis A","Connecticut",1987,39,172,3227234,5.32964142048578,7.1061885606477
"Hepatitis A","Connecticut",1988,21,141,3248344,4.34067327844588,10.7483338323422
"Hepatitis A","Connecticut",1989,32,207,3268532,6.33311835405007,10.2913173253314
"Hepatitis A","Connecticut",1990,40,107,3287116,3.25513307105682,4.23167299237386
"Hepatitis A","Connecticut",1991,34,74,3303573,2.23999893448699,3.42588072333305
"Hepatitis A","Connecticut",1992,32,49,3318064,1.47676476403107,2.39974274155049
"Hepatitis A","Connecticut",1993,27,59,3330930,1.77127709078245,3.41134847113658
"Hepatitis A","Connecticut",1994,25,60,3342519,1.79505337142437,3.73371101256268
"Hepatitis A","Connecticut",1995,39,69,3353188,2.05774325805771,2.74365767741027
"Hepatitis A","Connecticut",1996,44,123,3363299,3.65712355636534,4.32205511206813
"Hepatitis A","Connecticut",1997,26,71,3373219,2.10481442206984,4.20962884413968
"Hepatitis A","Connecticut",1998,34,63,3383318,1.86207740448873,2.84788308921806
"Hepatitis A","Connecticut",1999,37,57,3393974,1.67944716135127,2.36030411865583
"Hepatitis A","Connecticut",2000,39,135,3405565,3.96409993642758,5.28546658190344
"Hepatitis A","Connecticut",2001,40,206,3418395,6.02621990729568,7.83408587948438
"Hepatitis A","Connecticut",2002,47,87,3432433,2.53464525017677,2.8042883618977
"Hepatitis A","Connecticut",2003,42,81,3447563,2.34948570918066,2.90888706850939
"Hepatitis A","Connecticut",2004,45,68,3463671,1.96323496082624,2.26862706584366
"Hepatitis A","Connecticut",2005,51,49,3480637,1.40778828702907,1.4353919789316
"Hepatitis A","Connecticut",2006,51,42,3498344,1.20056804019273,1.22410859000043
"Hepatitis A","Connecticut",2007,46,25,3516668,0.710900204398027,0.803626318015161
"Hepatitis A","Connecticut",2008,51,24,3535486,0.678831708002804,0.692142133649917
"Hepatitis A","Connecticut",2009,48,18,3554673,0.506375691941284,0.548573666269724
"Hepatitis A","Connecticut",2010,50,24,3574097,0.671498283342618,0.698358214676322
"Hepatitis A","Connecticut",2011,47,16,3593650,0.44522978030693,0.492594650552348
"Hepatitis A","Delaware",1966,36,79,516402,15.2981591860605,22.0973410465318
"Hepatitis A","Delaware",1967,44,173,525460,32.9235336657405,38.9096306958751
"Hepatitis A","Delaware",1968,43,146,533755,27.3533737388877,33.078498474934
"Hepatitis A","Delaware",1969,30,67,541297,12.3776780584411,21.4546419679646
"Hepatitis A","Delaware",1970,43,135,548104,24.6303621210573,29.7855541929065
"Hepatitis A","Delaware",1971,46,138,554209,24.900353476757,28.1482256693774
"Hepatitis A","Delaware",1972,39,131,559693,23.4056884756465,31.2075846341953
"Hepatitis A","Delaware",1973,39,97,564659,17.1785095075081,22.9046793433441
"Hepatitis A","Delaware",1974,22,32,569211,5.62181686580196,13.2879307737137
"Hepatitis A","Delaware",1975,23,50,573460,8.71900394098978,19.7125306491943
"Hepatitis A","Delaware",1976,26,47,577523,8.13820401958017,16.2764080391603
"Hepatitis A","Delaware",1977,25,43,581518,7.39444006892306,15.38043534336
"Hepatitis A","Delaware",1978,21,40,585568,6.83097437018416,16.9147936785513
"Hepatitis A","Delaware",1979,15,27,589798,4.57783851420317,15.869840182571
"Hepatitis A","Delaware",1980,17,34,594338,5.72065053891893,17.4984604719873
"Hepatitis A","Delaware",1981,34,56,599301,9.34421934887477,14.2911590041614
"Hepatitis A","Delaware",1982,31,46,604720,7.6068262997751,12.7598376641389
"Hepatitis A","Delaware",1983,28,32,610606,5.24069530925015,9.732719860036
"Hepatitis A","Delaware",1984,23,44,616972,7.13160402741129,16.123626496756
"Hepatitis A","Delaware",1985,23,38,623834,6.09136404876938,13.7717795885221
"Hepatitis A","Delaware",1986,33,62,631207,9.82245127192823,15.4778020042505
"Hepatitis A","Delaware",1987,17,38,639107,5.94579624382146,18.1871414516892
"Hepatitis A","Delaware",1988,21,26,647554,4.0151091646411,9.94217507434938
"Hepatitis A","Delaware",1989,34,60,656568,9.13842892129985,13.9764207031645
"Hepatitis A","Delaware",1990,42,89,666168,13.3599932749697,16.5409440547244
"Hepatitis A","Delaware",1991,37,12,676364,1.77419259452011,2.4934598625688
"Hepatitis A","Delaware",1992,31,35,687107,5.09382090416776,8.54447377473303
"Hepatitis A","Delaware",1993,27,6,698329,0.859193875666054,1.65474376054203
"Hepatitis A","Delaware",1994,27,12,709960,1.69023606963773,3.25526946745043
"Hepatitis A","Delaware",1995,39,8,721921,1.10815449335869,1.47753932447826
"Hepatitis A","Delaware",1996,43,17,734132,2.31565985408619,2.8003328468019
"Hepatitis A","Delaware",1997,25,13,746502,1.74145548169998,3.62222740193596
"Hepatitis A","Delaware",1998,25,4,758939,0.527051581220625,1.0962672889389
"Hepatitis A","Delaware",1999,30,1,771341,0.129644346663797,0.224716867550582
"Hepatitis A","Delaware",2001,1,0,795628,0,0
"Hepatitis A","Delaware",2002,41,11,807429,1.36234888764213,1.72785712579002
"Hepatitis A","Delaware",2003,42,7,819034,0.854665374087034,1.05815712982204
"Hepatitis A","Delaware",2004,42,7,830477,0.842889086633344,1.04357696440319
"Hepatitis A","Delaware",2005,31,4,841794,0.47517563679475,0.797068810107323
"Hepatitis A","Delaware",2006,48,11,853024,1.28952995460855,1.39699078415926
"Hepatitis A","Delaware",2007,34,6,864207,0.694278106981314,1.06183710479495
"Hepatitis A","Delaware",2008,39,6,875389,0.685409572201615,0.913879429602154
"Hepatitis A","Delaware",2009,37,3,886615,0.338365581453055,0.475540817177266
"Hepatitis A","Delaware",2010,47,7,897934,0.779567317865233,0.862500011255151
"Hepatitis A","Delaware",2011,49,1,909389,0.109963942823148,0.116696429118443
"Hepatitis A","District Of Columbia",1966,25,38,767479,4.95127553978676,10.2986531227565
"Hepatitis A","District Of Columbia",1967,29,42,767400,5.47302580140735,9.81370143700628
"Hepatitis A","District Of Columbia",1968,36,67,765853,8.7484151658347,12.6365996839835
"Hepatitis A","District Of Columbia",1969,28,58,762372,7.60783449549564,14.1288354916348
"Hepatitis A","District Of Columbia",1970,37,87,756510,11.5001784510449,16.1624129582253
"Hepatitis A","District Of Columbia",1971,31,60,748020,8.02117590438758,13.4548757105856
"Hepatitis A","District Of Columbia",1972,38,95,737335,12.8842385075983,17.631063220924
"Hepatitis A","District Of Columbia",1973,32,67,725053,9.24070378303379,15.0161436474299
"Hepatitis A","District Of Columbia",1974,21,42,711746,5.90098152992781,14.6119542645832
"Hepatitis A","District Of Columbia",1975,35,90,697960,12.8947217605593,19.1578723299739
"Hepatitis A","District Of Columbia",1976,30,101,684201,14.7617439904356,25.587022916755
"Hepatitis A","District Of Columbia",1977,18,34,670939,5.0675247675273,14.6395159950789
"Hepatitis A","District Of Columbia",1978,18,30,658610,4.55504775208393,13.1590268393536
"Hepatitis A","District Of Columbia",1979,21,33,647615,5.09562008291964,12.6177259196105
"Hepatitis A","District Of Columbia",1980,17,36,638333,5.63968962908075,17.2508153360117
"Hepatitis A","District Of Columbia",1981,22,31,631010,4.91275891031838,11.6119756062071
"Hepatitis A","District Of Columbia",1982,17,23,625419,3.67753458081702,11.2489293060285
"Hepatitis A","District Of Columbia",1983,10,12,621237,1.93162995764901,10.0444757797749
"Hepatitis A","District Of Columbia",1984,8,11,618158,1.77948032703613,11.5666221257348
"Hepatitis A","District Of Columbia",1985,8,10,615889,1.62366920013184,10.553849800857
